Sandwich Label,Ingredient Label
A1 Ultimate Cheeseburger,A.1. Steak Sauce
A1 Ultimate Cheeseburger,American cheese
A1 Ultimate Cheeseburger,ground beef
A1 Ultimate Cheeseburger,White onion
A1 Ultimate Cheeseburger,bacon
Albuquerque turkey,turkey meat
Albuquerque turkey,New Mexico chile
Albuquerque turkey,cheese
alligator po' boy,lettuce
alligator po' boy,lettuce
alligator po' boy,mayonnaise
alligator po' boy,mayonnaise
alligator po' boy,Alligator
alligator po' boy,Alligator
alligator po' boy,pickle
alligator po' boy,pickle
alligator po' boy,tomato
alligator po' boy,tomato
almussafes,Sobrassada
almussafes,Allium cepa
almussafes,cheese
angel cake,flour
anko and butter sandwich,red bean paste
anko and butter sandwich,butter
avocado toast,avocado
Bacon Deluxe,bacon
bacon sandwich,bacon
"bacon, egg and cheese sandwich",chicken egg
"bacon, egg and cheese sandwich",bacon
"bacon, egg and cheese sandwich",cheese
Baconator,mayonnaise
Baconator,ketchup
Baconator,beef
Baconator,American cheese
Baconator,bacon
balık-ekmek,fish as food
Barros Jarpa,ham
Barros Jarpa,cheese
beef burger,beef
Bicky Burger,pork
Bicky Burger,chicken as food
Bicky Burger,horse meat
Big Buford,mustard
Big Buford,mayonnaise
Big Buford,beef
Big Buford,red onion
Big Buford,iceberg lettuce
Big Buford,pickled cucumber
Big Buford,American cheese
Big Buford,tomato
Big Buford,ketchup
Big Mac Bao,lettuce
Big Mac Bao,beef
Big Mac Bao,Cheddar cheese
Big Mac Bao,pickled cucumber
Big Mac Bao,flour
Big Mac Bao,onion
Big N' Tasty,Emmental
Big N' Tasty,neata
Big N' Tasty,tomato
Big N' Tasty,onion
Big N' Tasty,salad
BK Stacker,meat
BLAT,BLT
BLAT,avocado
BLT,lettuce
BLT,mayonnaise
BLT,tomato
BLT,bacon
boerewors roll,boerewors
Bondiola sandwich,Bondiola
Bosna,mustard
Bosna,Allium
Bosna,Bratwurst
breakfast roll,Irish breakfast
Buck Double,mustard
Buck Double,pickled cucumber
Buck Double,American cheese
Buck Double,ground beef
Buck Double,ketchup
buffalo burger,Bison bison
buffalo burger,bison meat
bun kebab,lentil
burrito,stuffing
butifarra,salsa criolla
butifarra,salsa criolla
butifarra,salsa criolla
butifarra,salsa criolla
butifarra,jamón del país
butifarra,jamón del país
butifarra,jamón del país
butifarra,jamón del país
Butterbrot,butter
Buttery Jack,iceberg lettuce
Buttery Jack,garlic butter
Buttery Jack,Swiss cheeses
Buttery Jack,tomato
Buttery Jack,ketchup
Buttery Jack,hamburger
bánh mì,pâté
bánh mì,rousong
bánh mì,vegetable
bánh mì thịt nguội,ham
bánh mì thịt nguội,chả lụa
bánh mì thịt nguội,cucumber
bánh mì thịt nguội,onion
bánh mì thịt nguội,head cheese
bánh mì thịt nguội,nước mắm
bánh mì thịt nguội,cilantro
bánh mì thịt nguội,pickled carrot
bánh mì thịt nguội,margarine
Cannibal,filet américain
CBO,Allium cepa
CBO,cheese
CBO,bacon
chaparrita,sausage
chaparrita,processed cheese
chaparrita,dough
cheese dog,hot dog
cheese sandwich,cheese
cheeseburger,neata
cheeseburger,cheese
